Source,Year,Emissions (CO2eq)
Manure Management,1988,45081.26
Manure Management,1989,44840.09
Manure Management,1990,44514.38
Manure Management,1991,44755.88
Manure Management,1992,45700.07
Manure Management,1993,46099.71
Manure Management,1994,46359.04
Manure Management,1995,47129.66
Manure Management,1996,47012.01
Manure Management,1997,46364.87
Manure Management,1998,47397.46
Manure Management,1999,47836.66
Manure Management,2000,47348.42
Manure Management,2001,47366.05
Manure Management,2002,47658.29
Manure Management,2003,47473.95
Manure Management,2004,47578.01
Manure Management,2005,47880.33
Manure Management,2006,48316.62
Manure Management,2007,48510.26
Manure Management,2008,49962.9
Manure Management,2009,48706.92
Manure Management,2010,48619.1
Manure Management,2011,48877.6
Manure Management,2012,48795.03
Manure Management,2030,51831.07
Manure Management,2050,52718.15
Other,1961,4726.05
Other,1962,5269.95
Other,1963,5269.95
Other,1964,5314.05
Other,1965,5332.2
Other,1966,5851.23
Other,1967,5859.86
Other,1968,6999.95
Other,1969,6330.71
Other,1970,5397.64
Other,1971,5407.16
Other,1972,5407.16
Other,1973,6455.04
Other,1974,7528.2
Other,1975,8381.85
Other,1976,7376.5
Other,1977,6689.6
Other,1978,8834.19
Other,1979,8533.79
Other,1980,9851.2
Other,1981,11279.16
Other,1982,9702.74
Other,1983,6451.46
Other,1984,8334.9
Other,1985,7412.48
Other,1986,7019.25
Other,1987,6939.14
Other,1988,8625.96
Other,1989,7989.45
Other,1990,8396.64
Other,1991,8271.69
Other,1992,9316.13
Other,1993,8426.77
Other,1994,9863.33
Other,1995,9200
Other,1996,8340.42
Other,1997,9229.78
Other,1998,9687.85
Other,1999,10446.34
Other,2000,9039.42
Other,2001,9857.4
Other,2002,9539.12
Other,2003,8914.52
Other,2004,9890.09
Other,2005,10006.14
Other,2006,8390.98
Other,2007,8173.85
Other,2008,8852.02
Other,2009,9229.76
Other,2010,10752.68
Other,2011,7784.16
Other,2012,7968.53
Other,2030,10526.87
Other,2050,11079.76
Other,1961,19733
Other,1962,23006.86
Other,1963,25487.97
Other,1964,27161.07
Other,1965,31188.29
Other,1966,35291.75
Other,1967,39744.74
Other,1968,40740.39
Other,1969,43677.55
Other,1970,47525.17
Other,1971,46885.58
Other,1972,48485.66
Other,1973,53553.71
Other,1974,50402.82
Other,1975,60965.27
Other,1976,62346.11
Other,1977,58348.05
Other,1978,62740.28
Other,1979,66792.09
Other,1980,69820.12
Other,1981,64311.54
Other,1982,53443.33
Other,1983,64950.46
Other,1984,67294.91
Other,1985,61040.6
Other,1986,59782.1
Other,1987,61550.91
Other,1988,62025.43
Other,1989,64855.83
Other,1990,66090.73
Other,1991,67024.37
Other,1992,66506.06
Other,1993,74028.3
Other,1994,68618.02
Other,1995,72042.85
Other,1996,72328
Other,1997,72096.71
Other,1998,72818.11
Other,1999,72068.11
Other,2000,67541.8
Other,2001,70321.86
Other,2002,70646.71
Other,2003,74464.63
Other,2004,73573.89
Other,2005,71089.5
Other,2006,75037.81
Other,2007,74777.68
Other,2008,71545.15
Other,2009,68581.32
Other,2010,72733.72
Other,2011,76330.59
Other,2012,78046.22
Other,2030,54668.47
Other,2050,57529.96
Manure applied to Soils,1961,14249.6
Manure applied to Soils,1962,14273.5
Manure applied to Soils,1963,14258.05
Manure applied to Soils,1964,14267.63
Manure applied to Soils,1965,14070.54
Manure applied to Soils,1966,13793.07
Manure applied to Soils,1967,13986.08
Manure applied to Soils,1968,13636.64
Manure applied to Soils,1969,13607.73
Manure applied to Soils,1970,13621.96
Manure applied to Soils,1971,14009.28
Manure applied to Soils,1972,14047.82
Manure applied to Soils,1973,13935.52
Manure applied to Soils,1974,14124.71
Manure applied to Soils,1975,13898.49
Manure applied to Soils,1976,13841.58
Manure applied to Soils,1977,13828.44
Manure applied to Soils,1978,13764.34
Manure applied to Soils,1979,14031.12
Manure applied to Soils,1980,14365.13
Manure applied to Soils,1981,14550.54
Manure applied to Soils,1982,14372.78
Manure applied to Soils,1983,14277.16
Manure applied to Soils,1984,14266.65
Manure applied to Soils,1985,14349.81
Manure applied to Soils,1986,14423.37
Manure applied to Soils,1987,14700.74
Manure applied to Soils,1988,14751.72
Manure applied to Soils,1989,14955.45
Manure applied to Soils,1990,15244.21
Manure applied to Soils,1991,15398.81
Manure applied to Soils,1992,15674.39
Manure applied to Soils,1993,15830.3
Manure applied to Soils,1994,15992.05
Manure applied to Soils,1995,16292.13
Manure applied to Soils,1996,16495.29
Manure applied to Soils,1997,16426.48
Manure applied to Soils,1998,16344.8
Manure applied to Soils,1999,16318.94
Manure applied to Soils,2000,16408.44
Manure applied to Soils,2001,16484.1
Manure applied to Soils,2002,16627.89
Manure applied to Soils,2003,16485.56
Manure applied to Soils,2004,16416.38
Manure applied to Soils,2005,16474.34
Manure applied to Soils,2006,16657.42
Manure applied to Soils,2007,16833.02
Manure applied to Soils,2008,17108.34
Manure applied to Soils,2009,16435.59
Manure applied to Soils,2010,16429.56
Manure applied to Soils,2011,16450.71
Manure applied to Soils,2012,16456.3
Manure applied to Soils,2030,18697.6
Manure applied to Soils,2050,19964.6
Manure left on Pasture,1961,38545.18
Manure left on Pasture,1962,39659.31
Manure left on Pasture,1963,41417.79
Manure left on Pasture,1964,42874.02
Manure left on Pasture,1965,43795.43
Manure left on Pasture,1966,44031.64
Manure left on Pasture,1967,44217.14
Manure left on Pasture,1968,44640.03
Manure left on Pasture,1969,45091.98
Manure left on Pasture,1970,46217.2
Manure left on Pasture,1971,47263.06
Manure left on Pasture,1972,48633.9
Manure left on Pasture,1973,50245.67
Manure left on Pasture,1974,52892.62
Manure left on Pasture,1975,54637.1
Manure left on Pasture,1976,52908.88
Manure left on Pasture,1977,50725.34
Manure left on Pasture,1978,48083.57
Manure left on Pasture,1979,45778.32
Manure left on Pasture,1980,45947.9
Manure left on Pasture,1981,47253.43
Manure left on Pasture,1982,47690.04
Manure left on Pasture,1983,47457.55
Manure left on Pasture,1984,46824.52
Manure left on Pasture,1985,45149.63
Manure left on Pasture,1986,43419.52
Manure left on Pasture,1987,42166.43
Manure left on Pasture,1988,41174.33
Manure left on Pasture,1989,40010.39
Manure left on Pasture,1990,39666.9
Manure left on Pasture,1991,39961.46
Manure left on Pasture,1992,40494.18
Manure left on Pasture,1993,41188.74
Manure left on Pasture,1994,41958.24
Manure left on Pasture,1995,42699.14
Manure left on Pasture,1996,43038.74
Manure left on Pasture,1997,42249.9
Manure left on Pasture,1998,41463.95
Manure left on Pasture,1999,41186.37
Manure left on Pasture,2000,40797.11
Manure left on Pasture,2001,40507.33
Manure left on Pasture,2002,40388.59
Manure left on Pasture,2003,40389.46
Manure left on Pasture,2004,40150.75
Manure left on Pasture,2005,40699.66
Manure left on Pasture,2006,41301.28
Manure left on Pasture,2007,41246.89
Manure left on Pasture,2008,40993.71
Manure left on Pasture,2009,40412.93
Manure left on Pasture,2010,40210.33
Manure left on Pasture,2011,39711.49
Manure left on Pasture,2012,38906.69
Manure left on Pasture,2030,42698.89
Manure left on Pasture,2050,41686.15
Other,1961,12322.23
Other,1962,12078.7
Other,1963,12773.22
Other,1964,12219.95
Other,1965,13568.23
Other,1966,13794.45
Other,1967,15252.02
Other,1968,15245.23
Other,1969,15234.45
Other,1970,14364.35
Other,1971,17018.98
Other,1972,16522.72
Other,1973,17929.15
Other,1974,15959.72
Other,1975,18859.91
Other,1976,18786.48
Other,1977,19981.07
Other,1978,20476.06
Other,1979,22569.23
Other,1980,20632.04
Other,1981,24122.82
Other,1982,24537.66
Other,1983,17182.14
Other,1984,22954.24
Other,1985,24515.04
Other,1986,22345.93
Other,1987,20514.56
Other,1988,16249.71
Other,1989,20741.44
Other,1990,22452.34
Other,1991,20553.55
Other,1992,24522.75
Other,1993,19601.59
Other,1994,24996.35
Other,1995,20822.15
Other,1996,23989.61
Other,1997,24696.56
Other,1998,25370.57
Other,1999,24428.47
Other,2000,24824.9
Other,2001,23913.26
Other,2002,22198.34
Other,2003,24664.65
Other,2004,27285.12
Other,2005,26056.92
Other,2006,24740.3
Other,2007,27545.57
Other,2008,28038.95
Other,2009,29059.86
Other,2010,28215.49
Other,2011,26900.95
Other,2012,25868.62
Other,2030,32688.36
Other,2050,34374.98
Other,1961,2519.86
Other,1962,2363.2
Other,1963,2499.39
Other,1964,2433.51
Other,1965,2430.38
Other,1966,2485.34
Other,1967,2713.5
Other,1968,2524.64
Other,1969,2377.97
Other,1970,2416.36
Other,1971,2684.67
Other,1972,2471.22
Other,1973,2711.94
Other,1974,2963.97
Other,1975,3092.66
Other,1976,3227.46
Other,1977,3173.29
Other,1978,3066.32
Other,1979,3154.81
Other,1980,3290.39
Other,1981,3469.6
Other,1982,3368.47
Other,1983,2466.15
Other,1984,3194.74
Other,1985,3266.68
Other,1986,3013.95
Other,1987,2655.75
Other,1988,2591.19
Other,1989,2909.01
Other,1990,3066.85
Other,1991,2984.12
Other,1992,3157.07
Other,1993,2861.57
Other,1994,3161.74
Other,1995,2916.22
Other,1996,3169.05
Other,1997,3175.61
Other,1998,3128.26
Other,1999,3001.18
Other,2000,3046.1
Other,2001,2876.05
Other,2002,2858.3
Other,2003,2997.08
Other,2004,3047.67
Other,2005,3096.87
Other,2006,2902.86
Other,2007,3458.41
Other,2008,3269.56
Other,2009,3227.4
Other,2010,3269.61
Other,2011,3308.49
Other,2012,3458.39
Other,2030,3558.62
Other,2050,3671.48
Other,1990,1380.09
Other,1991,1380.09
Other,1992,1380.09
Other,1993,1380.09
Other,1994,1380.09
Other,1995,1380.09
Other,1996,1601
Other,1997,715.25
Other,1998,1157.52
Other,1999,1217.21
Other,2000,1309.2
Other,2001,421.25
Other,2002,1944.98
Other,2003,1292.45
Other,2004,1677.22
Other,2005,2320.45
Other,2006,1484.11
Other,2007,1428.91
Other,2008,810.9
Other,2009,1169.6
Other,2010,583.12
Other,2011,2709.68
Other,2012,1618.78
Other,2030,1380.09
Other,2050,1380.09
Other,1970,42200.31
Other,1971,42947.78
Other,1972,42962.28
Other,1973,46758.06
Other,1974,41828.36
Other,1975,40831.35
Other,1976,44416.66
Other,1977,51810.89
Other,1978,52593.03
Other,1979,59521.11
Other,1980,51016.91
Other,1981,48765.66
Other,1982,66342.07
Other,1983,51094.38
Other,1984,54179.97
Other,1985,0
Other,1986,59679.75
Other,1987,58419.09
Other,1988,61829.67
Other,1989,56976.29
Other,1990,47812
Other,1991,47767.3
Other,1992,52046.73
Other,1993,49241.53
Other,1994,49978.01
Other,1995,50132.44
Other,1996,51329.3
Other,1997,51788.75
Other,1998,47483
Other,1999,43713.97
Other,2000,46596.29
Other,2001,51227.16
Other,2002,49955.38
Other,2003,43799.97
Other,2004,55765.61
Other,2005,55430.58
Other,2006,58063.43
Other,2007,53235.77
Other,2008,51207.95
Other,2009,47145.83
Other,2010,52901.95
Other,2011,48040.62
Other,1990,10021.18
Other,1991,10021.18
Other,1992,10021.18
Other,1993,10021.18
Other,1994,10021.18
Other,1995,10021.18
Other,1996,10021.18
Other,1997,10021.18
Other,1998,10021.18
Other,1999,10021.18
Other,2000,10021.18
Other,2001,10021.18
Other,2002,10021.18
Other,2003,10021.18
Other,2004,10021.18
Other,2005,10021.18
Other,2006,10021.18
Other,2007,10021.18
Other,2008,10021.18
Other,2009,10021.18
Other,2010,10021.18
Other,2011,10021.18
Other,2012,10021.18
Other,2030,10021.18
Other,2050,10021.18
